mlId,movieLabel,year,cast member,country of origin,director,producer,distributed by,film editor,screenwriter,composer
8341,Oliver Twist,1948.0,"Josephine Stuart, Kathleen Harrison, Mary Clare, Edie Martin, Alec Guinness, Diana Dors, Ralph Truman, Henry Edwards, John Howard Davies, Maurice Denham, Anthony Newley, Kay Walsh, Francis L. Sullivan, Robert Newton, Henry Stephenson, Peter Bull, Amy Veness",United Kingdom,David Lean,"Ronald Neame, Anthony Havelock-Allan","Netflix, Rank Organisation",Jack Harris,David Lean,Arnold Bax
83424,Ghajini,2008.0,"Aamir Khan, Asin, Jiah Khan, Riyaz Khan",India,A. R. Murugadoss,Allu Aravind,"Netflix, Reliance Entertainment",Anthony,A. R. Murugadoss,A. R. Rahman
83435,A Hatful of Rain,1957.0,"Eva Marie Saint, Paul Kruger, Lloyd Nolan, Anthony Franciosa, William Hickey, Don Murray, Henry Silva, Michael Vale, Art Fleming",United States of America,Fred Zinnemann,"20th Century Studios, Buddy Adler",20th Century Studios,Dorothy Spencer,"Michael V. Gazzo, Carl Foreman, Alfred Hayes",Bernard Herrmann
83437,The Young in Heart,1938.0,"Paulette Goddard, Janet Gaynor, Billie Burke, Lucile Watson, Douglas Fairbanks Jr., Richard Carlson, Irvin S. Cobb, Henry Stephenson, Lawrence Grant, Georges Renavent, Roland Young, Eily Malyon, Lionel Pape, Walter Kingsford, Tom Ricketts, Ian Maclaren, Michael Visaroff, Minnie Dupree",United States of America,Richard Wallace,David O. Selznick,"United Artists Corporation, Netflix",Hal C. Kern,Charles Bennett,Franz Waxman
83439,Toys in the Attic,1963.0,"Geraldine Page, Dean Martin, Gene Tierney, Wendy Hiller, Nan Martin, Yvette Mimieux, Larry Gates, Frank Silvera",United States of America,George Roy Hill,Walter Mirisch,United Artists Corporation,Stuart Gilmore,James Poe,George Duning
83446,Orchestra Wives,1942.0,"Glenn Miller, Ann Rutherford, Carole Landis, Lynn Bari, Paul Tanner, Tex Beneke, Cesar Romero, Jackie Gleason, Mary Beth Hughes, Fayard Nicholas, Harry Morgan, Dale Evans, Bobby Hackett, Olin Howland, George Montgomery, Billy May, Ernie Caceres, Edith Evanson, Grant Mitchell, Frank Orth, Iris Adrian, Virginia Gilmore, Alec Craig, Trudy Marshall, Marion Hutton, Tamara Geva, Bobby Hackett",United States of America,Archie Mayo,William LeBaron,20th Century Studios,Robert Bischoff,Karl Tunberg,Alfred Newman
83525,Outrage,2010.0,"Takeshi Kitano, Jun Kunimura, Naoko Watanabe, Hiroyuki Sanada, Fumiyo Kohinata, Ryō Kase, Tao Okamoto, Kippei Shiina, Rila Fukushima, Tomokazu Miura, Takashi Tsukamoto, Renji Ishibashi, Tetta Sugimoto",Japan,Takeshi Kitano,Masayuki Mori,"Netflix, Office Kitano","Takeshi Kitano, Yoshinori Ōta",Takeshi Kitano,Keiichi Suzuki
83540,Le Silence de la mer,1949.0,"Nicole Stéphane, Howard Vernon, Claude Vernier, Fritz Schmiedel, Jean-Marie Robain, Georges Patrix, Denis Sadier, Rudelle, Max Fromm, Max Hermann, Amy Aaröe",France,Jean-Pierre Melville,Jean-Pierre Melville,Pierre Braunberger,"Jean-Pierre Melville, Henri Decaë",Jean-Pierre Melville,Edgar Bischoff
83577,The Spy in Black,1939.0,"Conrad Veidt, Marius Goring, Bernard Miles, Valerie Hobson, Graham Stark, Torin Thatcher, Helen Haye, June Duprez, Sebastian Shaw, Esma Cannon, Skelton Knaggs",United Kingdom,Michael Powell,"Alexander Korda, Irving Asher",Columbia Pictures,Hugh Stewart,Emeric Pressburger,Miklós Rózsa
836,Chain Reaction,1996.0,"Brian Cox, Michael Shannon, Keanu Reeves, Morgan Freeman, Fred Ward, Joanna Cassidy, Neil Flynn, Tzi Ma, Kevin Dunn, Rachel Weisz, Margaret Travolta, Nathan Davis, Chelcie Ross",United States of America,Andrew Davis,Andrew Davis,"20th Century Studios, Netflix",Don Brochu,"J. F. Lawton, Michael Bortman, Josh Friedman",Jerry Goldsmith
8361,The Day After Tomorrow,2004.0,"Emmy Rossum, Jake Gyllenhaal, Ian Holm, Sasha Roiz, Sela Ward, Kenneth Welsh, Austin Nichols, Tim Bagley, Tamlyn Tomita, Dash Mihok, Dennis Quaid, Glenn E. Plummer, Nestor Serrano, Arjay Smith, Jay O. Sanders, Perry King, Matt Holland, Gordon Masten",United States of America,Roland Emmerich,"Roland Emmerich, Mark Gordon","InterCom, Netflix",David Brenner,"Roland Emmerich, Whitley Strieber, Jeffrey Nachmanoff",Harald Kloser
83613,Cowboys & Aliens,2011.0,"Harrison Ford, Clancy Brown, Daniel Craig, Olivia Wilde, Ana de la Reguera, Matthew Taylor, Noah Ringer, Sam Rockwell, Keith Carradine, Abigail Spencer, David O'Hara, Paul Dano, Adam Beach, Walton Goggins, Brian Duffy, Toby Huss, Buck Taylor, Raoul Trujillo, Gavin Grazer, Wyatt Russell, Chris Browning",United States of America,Jon Favreau,"Ron Howard, Damon Lindelof, Alex Kurtzman, Roberto Orci, Brian Grazer, Scott Mitchell Rosenberg","Netflix, UIP-Dunafilm",Dan Lebental,"Damon Lindelof, Alex Kurtzman, Roberto Orci, Mark Fergus, Hawk Ostby, Mark Fergus and Hawk Ostby",Harry Gregson-Williams
8362,Raising Helen,2004.0,"Amber Valletta, Paris Hilton, Hayden Panettiere, John Corbett, Kate Hudson, Felicity Huffman, Spencer Breslin, Abigail Breslin, Joan Cusack, Héctor Elizondo, Emily Hart, Joseph Mazzello, Sakina Jaffrey, Kevin Kilner, Frank Campanella, Helen Mirren, Bernard White",United States of America,Garry Marshall,"Ashok Amritraj, David Hoberman","Netflix, Walt Disney Studios Motion Pictures",Bruce Green,"Jack Amiel, Michael Begler",John Debney
8365,The Mother,2003.0,"Daniel Craig, Oliver Ford Davies, Peter Vaughan, Steven Mackintosh, Anne Reid, Harry Michell",United Kingdom,Roger Michell,Kevin Loader,Sony Pictures Classics,Nicolas Gaster,Hanif Kureishi,Jeremy Sams
8366,Saved!,2004.0,"Heather Matarazzo, Mandy Moore, Macaulay Culkin, Nicki Clyne, Aaron Douglas, Eva Amurri, Mary-Louise Parker, Jena Malone, Valerie Bertinelli, Patrick Fugit, Chad Faust, Martin Donovan, Kett Turton","United States of America, Canada",Brian Dannelly,"Michael Ohoven, Michael Stipe, William Vince, Sandy Stern","United Artists Corporation, Netflix, Vudu",Pamela Martin,Brian Dannelly,Christophe Beck
8368,Harry Potter and the Prisoner of Azkaban,2004.0,"Rupert Grint, Daniel Radcliffe, Emma Watson, Fiona Shaw, Bonnie Wright, Gary Oldman, Tom Felton, Alan Rickman, Warwick Davis, Matthew Lewis, Emma Thompson, Maggie Smith, Julie Christie, Timothy Spall, Geraldine Somerville, Dawn French, David Thewlis, Alfred Enoch, Richard Griffiths, Julie Walters, Michael Gambon, Harry Melling, Mark Williams, Pam Ferris, Miriam Margolyes, Devon Murray, David Bradley, Robbie Coltrane, Robert Hardy, Chris Rankin, Paul Whitehouse, Adrian Rawlins, Joshua Herdman, Jamie Waylett, James Phelps, Jimmy Gardner, Lee Ingleby, Jim Tavaré, Edward Randell, Genevieve Gaunt, Lenny Henry, Sitara Shah, Jennifer Smith, Oliver Phelps, Alex Crockford","United States of America, United Kingdom",Alfonso Cuarón,"Chris Columbus, David Heyman, Mark Radcliffe",Warner Bros.,Steven Weisberg,"J. K. Rowling, Steve Kloves",John Williams
837,Matilda,1996.0,"Danny DeVito, Pam Ferris, Tracey Walter, Brian Levinson, Craig Lamar Traylor, Simon Jones, Mara Wilson, Embeth Davidtz, Paul Reubens, Jon Lovitz, Jimmy Karz, Jean Speegle Howard, Rhea Perlman, Kiami Davael, R. D. Robb, Rachel Snow, Jonathan Osser, Michael Valentine",United States of America,Danny DeVito,"Roald Dahl, Danny DeVito, Stacey Sher, Michael Shamberg","Netflix, TriStar Pictures",Lynzee Klingman,"Nicholas Kazan, Robin Swicord",David Newman
8370,Zatōichi,2003.0,"Takeshi Kitano, Yui Natsukawa, Tadanobu Asano, Saburo Ishikura, Michiyo Ōkusu, Ittoku Kishibe, Yūko Daike, Akira Emoto, Daigoro Tachibana, Taichi Saotome",Japan,Takeshi Kitano,Masayuki Mori,Mikado Film,Takeshi Kitano,Takeshi Kitano,Keiichi Suzuki
8372,Garfield: The Movie,2004.0,"Jimmy Kimmel, Jennifer Love Hewitt, Jim Davis, Breckin Meyer, Eve Brent, Stephen Tobolowsky, David Eigenberg, Mark Christopher Lawrence, Juliette Goglia",United States of America,Peter Hewitt,"Jim Davis, John Davis","20th Century Studios, InterCom, Netflix, Disney+, Vudu","Peter E. Berger, Michael A. Stevenson","Joel Cohen, John Davis, Alec Sokolow",Christophe Beck
8373,The Stepford Wives,2004.0,"Matthew Broderick, Nicole Kidman, Carrie Preston, KaDee Strickland, Bette Midler, Christopher Walken, Larry King, Jon Lovitz, Andrea Anders, C. S. Lee, David Marshall Grant, Faith Hill, Matt Malloy, Glenn Close, Roger Bart, Robert Stanton, Jason Kravits, Mike White, Mary Beth Peil, Lorri Bagley, Nancy La Scala, Danika Yarosh",United States of America,Frank Oz,Scott Rudin,"Paramount Pictures, Netflix, Vudu",Jay Rabinowitz,Ira Levin,David Arnold
8376,Napoleon Dynamite,2004.0,"Haylie Duff, Tina Majorino, Jon Heder, Aaron Ruell, Diedrich Bader, Ellen Dubin, Efren Ramirez, Emily Tyndall, Jon Gries, Shondrella Avery, Sandy Martin",United States of America,Jared Hess,"Jeremy Coon, Sean Covel, Chris Wyatt","20th Century Studios, Netflix",Jeremy Coon,"Jared Hess, Jerusha Hess",John Swihart
83767,The Naked Edge,1961.0,"Gary Cooper, Deborah Kerr, Diane Cilento, Peter Cushing, Hermione Gingold, Helen Cherry, Eric Portman, Wilfrid Lawson, Michael Wilding, Ray McAnally, Ronald Howard, Robert Rietti, Joyce Carey, Martin Boddey","United States of America, United Kingdom",Michael Anderson,"Walter Seltzer, George Glass",United Artists Corporation,Gordon Pilkington,Joseph Stefano,William Alwyn
8377,City of Joy,1992.0,"Patrick Swayze, Om Puri, Sam Wanamaker, Shabana Azmi, Art Malik, Pauline Collins, Pavan Malhotra, Anjan Dutt, Chakradhar Jena","France, United Kingdom",Roland Joffé,"Roland Joffé, Jake Eberts","Netflix, TriStar Pictures",Gerry Hambling,Joe Eszterhas,Ennio Morricone
8378,The Doctor,1991.0,"William Hurt, Elizabeth Perkins, Christine Lahti, Adam Arkin, Bill Macy, Wendy Crewson, Mandy Patinkin, Zakes Mokae, Kyle Secor, Charlie Korsmo, J. E. Freeman",United States of America,Randa Haines,Laura Ziskin,Walt Disney Studios Motion Pictures,Lisa Fruchtman,Robert Caswell,Michael Convertino
8379,The Dresser,1983.0,"Eileen Atkins, Albert Finney, Michael Gough, Edward Fox, Tom Courtenay, John Sharp, Roger Avon, Zena Walker",United Kingdom,Peter Yates,Peter Yates,"Columbia Pictures, Netflix",Ray Lovejoy,Ronald Harwood,James Horner
83791,Gung Ho!,1943.0,"Robert Mitchum, Randolph Scott, Sam Levene, J. Carrol Naish, Noah Beery Jr., Alan Curtis, Rod Cameron, Milburn Stone, Irving Bacon, Dick Lane, David Bruce, Walter Sande, Louis Jean Heydt",United States of America,Ray Enright,Walter Wanger,"Universal Pictures, Netflix",Milton Carruth,Lucien Hubbard,Frank Skinner
83798,Cracks,2009.0,"Eva Green, Sinéad Cusack, Juno Temple, Imogen Poots, María Valverde",United Kingdom,Jordan Scott,"Christine Vachon, Andrew Lowe, Julie Payne, Kwesi Dickson","iTunes, Netflix, StudioCanal UK",Valerio Bonelli,Jordan Scott,Javier Navarrete
83819,Plymouth Adventure,1952.0,"Spencer Tracy, Gene Tierney, Lloyd Bridges, Van Johnson, Dawn Addams, Paul Cavanagh, John Dierkes, John Dehner, Leo Genn, Kathleen Lockhart, Lowell Gilmore, Barry Jones, Dennis Hoey, John Alderson",United States of America,Clarence Brown,Dore Schary,"Metro-Goldwyn-Mayer, Netflix",Robert J. Kern,Helen Deutsch,Miklós Rózsa
83821,The Happy Ending,1969.0,"Jean Simmons, Humphrey Bogart, Clark Gable, Teresa Wright, Shirley Jones, Bobby Darin, John Forsythe, Lloyd Bridges, Eve Brent, Tina Louise, Erin Moran, Nanette Fabray, William O'Connell, Dick Shawn, Karen Steele, John Gallaudet",United States of America,Richard Brooks,Richard Brooks,"United Artists Corporation, Netflix",George Grenville,Richard Brooks,Michel Legrand
83823,Visit to a Small Planet,1960.0,"John Williams, Gale Gordon, Ellen Corby, Lee Patrick, Earl Holliman, Jerry Lewis, Fred Clark, Joan Blackman, Karl Lukas, Joe Turkel, Edward G. Robinson Jr., Jerome Cowan",United States of America,Norman Taurog,Hal B. Wallis,"Paramount Pictures, Netflix",Frank Bracht,"Henry Garson, Edmund Beloin",Leigh Harline
83825,Kismet,1944.0,"Marlene Dietrich, Ronald Colman, Frank Morgan, Joy Page, Yvonne De Carlo, Florence Bates, Victor Kilian, Edward Arnold, Hugh Herbert, Robert Warwick, James Craig, Nestor Paiva, James Craig, Charles Middleton, Harry Davenport, Hobart Cavanaugh, Pedro de Cordoba, Zack Williams",United States of America,William Dieterle,Everett Riskin,Metro-Goldwyn-Mayer,Ben Lewis,"John Meehan, John Meehan",Herbert Stothart
83831,The Story of Dr. Wassell,1944.0,"Signe Hasso, Laraine Day, Paul Kelly, Dennis O'Keefe, Miles Mander, Cecil B. DeMille, Yvonne De Carlo, Richard Loo, Ann Doran, Ludwig Donath, Carl Esmond, Gary Cooper, Elliott Reid, Philip Van Zandt, Barbara Britton, Gavin Muir, Mildred Harris, Philip Ahn, Lane Chandler, Louis Jean Heydt, Richard Aherne, Edward Fielding, James Millican, Morton Lowry, Stanley Ridges, Carol Thurston, John Mylong, Lester Matthews",United States of America,Cecil B. DeMille,Paramount Pictures,Paramount Pictures,Anne Bauchens,"Charles Bennett, Alan Le May",Victor Young
8385,Lover Come Back,1961.0,"Doris Day, Rock Hudson, Tony Randall, Jack Albertson, Ann B. Davis, Edie Adams, Joe Flynn, Jack Oakie, Richard Deacon, Jack Kruschen, Howard St. John, Charles Watts, John Litel, Donna Douglas, Phil Arnold, Harold Miller, Fred Aldrich",United States of America,Delbert Mann,Robert Arthur,"Universal Pictures, Netflix",Marjorie Fowler,"Paul Henning, Stanley Shapiro",Frank De Vol
8391,Big Wednesday,1978.0,"Steve Kanaly, Joe Spinell, Charlene Tilton, Robert Englund, Patti D'Arbanville, Frank McRae, Gerry Lopez, Lee Purcell, Hank Worden, Gary Busey, Reb Brown, William Katt, Jan-Michael Vincent, Michael Talbott, Sam Melville, Barbara Hale, Fran Ryan, Perry Lang, Darrell Fetty, Todd Lookinland, Jack Bernardi",United States of America,John Milius,Buzz Feitshans,Warner Bros.,Carroll Timothy O'Meara,John Milius,Basil Poledouris
83910,The Dilemma,2011.0,"Jennifer Connelly, Kevin James, Vince Vaughn, Winona Ryder, Channing Tatum, Talulah Riley, Rance Howard, Clint Howard, Chelcie Ross, Kevin Bigley, Rebecca Spence, Queen Latifah, Mike McNamara",United States of America,Ron Howard,"Vince Vaughn, Ron Howard, Brian Grazer","Universal Pictures, Netflix",Daniel P. Hanley,Allan Loeb,Hans Zimmer
83916,Blues in the Night,1941.0,"Elia Kazan, Joyce Compton, Betty Field, Cyril Ring, Faye Emerson, Lloyd Nolan, Lane Sisters, Faith Domergue, Jack Carson, Howard Da Silva, Wallace Ford, Billy Halop, Fred Kelsey, Hank Mann, Jack Mower, Creighton Hale, Wade Boteler, Emmett Vogan, Richard Whorf, Charles C. Wilson, Hal K. Dawson, John Hamilton, Peter Whitney, Priscilla Lane, John Dilson, Edward Keane, Brooks Benedict, Charles Irwin",United States of America,Anatole Litvak,Hal B. Wallis,"Warner Bros., Netflix",Owen Marks,Robert Rossen,Heinz Eric Roemheld
83918,The Gorgeous Hussy,1936.0,"Joan Crawford, James Stewart, Robert Taylor, Melvyn Douglas, Lionel Barrymore, Clara Blandick, Betty Blythe, Franchot Tone, Beulah Bondi, Nydia Westman, Louis Calhern, Gene Lockhart, Frank Reicher, Melville Cooper, Edward LeSaint, Sidney Toler, Willard Robertson, Edith Atwater, Elsa Janssen, Frank Conroy, Zeffie Tilbury, Edmund Mortimer, Greta Meyer, Alison Skipworth, Charles Trowbridge, Rubye De Remer, Sam McDaniel",United States of America,Clarence Brown,"Joseph L. Mankiewicz, Clarence Brown",Metro-Goldwyn-Mayer,Blanche Sewell,Stephen Morehouse Avery,Herbert Stothart
83920,Pete 'n' Tillie,1972.0,"Walter Matthau, Geraldine Page, Cloris Leachman, Whit Bissell, Isabel Sanford, Carol Burnett, René Auberjonois, Henry Jones, Barry Nelson, Kent Smith, Lee Montgomery, Henry Jones, Philip Bourneuf, Mickey Fox",United States of America,Martin Ritt,Julius J. Epstein,"Universal Pictures, Netflix",Frank Bracht,Julius J. Epstein,John Williams
83923,Wicked Little Things,2006.0,"Chloë Grace Moretz, Scout Taylor-Compton, Lori Heuring, Geoffrey Lewis, Ben Cross, Julie Rogers",United States of America,J. S. Cardone,Boaz Davidson,"Sony Pictures, Netflix",Alain Jakubowicz,Jace Anderson,Tim Jones
8395,The Last of Sheila,1973.0,"James Coburn, Raquel Welch, Ian McShane, James Mason, Dyan Cannon, Joan Hackett, Richard Benjamin, Yvonne Romain",United States of America,Herbert Ross,Herbert Ross,"Warner Bros., Netflix, Vudu",Edward Warschilka,"Stephen Sondheim, Anthony Perkins",Billy Goldenberg
83969,Down Argentine Way,1940.0,"Charles Judels, Charlotte Greenwood, Gregory Gaye, Armand Kaliz, Gino Corrado, Kay Aldridge, Jean Del Val, Edward Fielding, Carmen Miranda, Frank Puglia, Betty Grable, Chrispin Martin, Don Ameche, J. Carrol Naish, Henry Stephenson, Fortunio Bonanova, Leonid Kinskey",United States of America,Irving Cummings,Darryl F. Zanuck,"20th Century Studios, Netflix",Barbara McLean,"Karl Tunberg, Darrell Ware",Cyril J. Mockridge
8398,Star!,1968.0,"Julie Andrews, Richard Crenna, Beryl Reid, Michael Craig, Robert Reed, Daniel Massey, Bruce Forsyth, J. Pat O'Malley, Alan Oppenheimer, Monte Landis",United States of America,Robert Wise,Saul Chaplin,20th Century Studios,William H. Reynolds,William Fairchild,Lennie Hayton
8399,We're Not Married!,1952.0,"Marilyn Monroe, Lee Marvin, Ginger Rogers, Zsa Zsa Gabor, Jane Darwell, Eddie Bracken, Eve Arden, Mitzi Gaynor, James Gleason, Fred Allen, Gloria Talbott, Louis Calhern, Paul Stewart, David Wayne, Victor Moore, Oothout Zabriskie Whitehead, Paul Douglas, Harry Harvey",United States of America,Edmund Goulding,Nunnally Johnson,"20th Century Studios, Netflix",Louis R. Loeffler,Nunnally Johnson,Cyril J. Mockridge
8400,Wish You Were Here,1987.0,"Emily Lloyd, Geoffrey Hutchings, Tom Bell, Heathcote Williams",United Kingdom,David Leland,Sarah Radclyffe,"Netflix, Atlantic Entertainment Group",George Akers,David Leland,Stanley Myers
8401,The Adventures of Sherlock Holmes,1939.0,"Ida Lupino, Basil Rathbone, Terry Kilburn, Mary Forbes, Mary Gordon, George Zucco, Henry Stephenson, E. E. Clive, Nigel Bruce, Holmes Herbert, May Beatty, Alan Marshal, Arthur Hohl, Leonard Mudie, Georgios Regas",United States of America,Alfred L. Werker,Darryl F. Zanuck,"20th Century Studios, Netflix",Robert Bischoff,"William Gillette, Edwin Blum",Robert Russell Bennett
8404,The Hound of the Baskervilles,1939.0,"John Carradine, Basil Rathbone, Wendy Barrie, Mary Gordon, Lionel Atwill, Leonard Carey, E. E. Clive, Nigel Bruce, Richard Greene, Ralph Forbes, Ian Maclaren, Lionel Pape, Morton Lowry, Nigel De Brulier, Eily Malyon, Barlowe Borland, Beryl Mercer",United States of America,Sidney Lanfield,Gene Markey,"Netflix, 20th Century Studios",Robert Simpson,Ernest Pascal,David Buttolph
84047,Eight Miles High,2007.0,"Matthias Schweighöfer, Domenica Niehoff, Natalia Avelon, David Scheller, Inga Busch, Friederike Kempter, Milan Peschel, Heike Warmuth, Sebastian Stielke, Georg Friedrich, Alexander Scheer, Petra Berndt, Urs Rechn, Oli Bigalke, Victor Norén",Germany,Achim Bornhak,Dietmar Güntsche,Netflix,Peter Przygodda,"Olaf Kraemer, Martin Ritzenhoff",Alexander Hacke
8407,The Molly Maguires,1970.0,"Sean Connery, Richard Harris, Samantha Eggar, Anthony Zerbe, Frank Finlay, Bethel Leslie, Brendan Dillon, Philip Bourneuf, John Alderson",United States of America,Martin Ritt,Martin Ritt,"Paramount Pictures, Netflix",Frank Bracht,Walter Bernstein,Henry Mancini
84092,Decision at Sundown,1957.0,"Randolph Scott, Andrew Duggan, Valerie French, John Carroll, Richard Deacon, Noah Beery Jr., James Westerfield, John Archer, Ray Teal, Vaughn Taylor, John Litel, Karen Steele, Reed Howes",United States of America,Budd Boetticher,Harry Joe Brown,"Columbia Pictures, Netflix",Al Clark,Charles Lang,Heinz Eric Roemheld
84098,Phone Call from a Stranger,1952.0,"Bette Davis, Shelley Winters, Beatrice Straight, Gary Merrill, Keenan Wynn, Nestor Paiva, Helen Westcott, Warren Stevens, Michael Rennie, Craig Stevens, Evelyn Varden",United States of America,Jean Negulesco,Nunnally Johnson,"20th Century Studios, Netflix",Hugh S. Fowler,Nunnally Johnson,Franz Waxman
84118,BirdWatchers,2008.0,"Claudio Santamaria, Matheus Nachtergaele, Chiara Caselli, Leonardo Medeiros","Italy, Brazil",Marco Bechis,"Marco Bechis, Caio Gullane","Netflix, 01 Distribution",Jacopo Quadri,"Marco Bechis, Luiz Bolognesi",Andrea Guerra
84122,History Is Made at Night,1937.0,"Charles Boyer, Jean Arthur, Colin Clive, George Meeker, Ivan Lebedeff, Leo Carrillo, Byron Foulger",United States of America,Frank Borzage,Walter Wanger,United Artists Corporation,Margaret Clancey,Gene Towne,Alfred Newman
84125,Monte Carlo,1930.0,"ZaSu Pitts, Jeanette MacDonald, Frances Dee, Lionel Belmore, Billy Bevan, John Carroll, Jack Buchanan, Tyler Brooke, Albert Conti, Claud Allister, Sidney Bracey, Helen Gardner, Rolfe Sedan, Edgar Norton, John Roche",United States of America,Ernst Lubitsch,Ernst Lubitsch,"Paramount Pictures, Netflix",Merrill G. White,Ernest Vajda,W. Franke Harling
84133,Short Night of Glass Dolls,1971.0,"Mario Adorf, Jürgen Drews, Ingrid Thulin, Barbara Bach, Luciano Catenacci, Fabijan Šovagović, José Quaglio, Franca Sciutto, Jean Sorel, Relja Bašić, Piero Vida, Daniele Dublino","Italy, Germany",Aldo Lado,Enzo Doria,Netflix,Mario Morra,Aldo Lado,Ennio Morricone
84150,The Prowler,1951.0,"Evelyn Keyes, Van Heflin, Dalton Trumbo, John Maxwell, Herbert Anderson, George Nader, Madge Blake, Katherine Warren, Robert Osterloh, Louise Lorimer",United States of America,Joseph Losey,Sam Spiegel,United Artists Corporation,Paul Weatherwax,"Dalton Trumbo, Hugo Butler",Lyn Murray
84152,Limitless,2011.0,"Robert De Niro, Anna Friel, Abbie Cornish, Bradley Cooper, Patricia Kalember, Robert John Burke, Tomas Arana, Johnny Whitworth, Andrew Howard, T. V. Carpio, Caroline Winberg",United States of America,Neil Burger,"Ryan Kavanaugh, Leslie Dixon","Netflix, Relativity Media",Tracy Adams,"Leslie Dixon, Alan Glynn",Paul Leonard-Morgan
84156,Happy People: A Year in the Taiga,2010.0,Werner Herzog,Germany,Werner Herzog,"Klaus Badelt, Carl Woebcken, Timur Bekmambetov, Werner Herzog, Christoph Fisser",Netflix,Joe Bini,Werner Herzog,Klaus Badelt
8420,Possessed,1947.0,"Joan Crawford, Geraldine Brooks, Raymond Massey, Geraldine Brooks, Douglas Kennedy, Monte Blue, Erskine Sanford, Van Heflin, Moroni Olsen, John Ridgely, Sarah Padden, Stanley Ridges, Rory Mallinson",United States of America,Curtis Bernhardt,Jerry Wald,"Warner Bros., Netflix",Rudi Fehr,Ranald MacDougall,Franz Waxman
8421,Dying of Laughter,1999.0,"Sancho Gracia, Ramón Barea, Uri Geller, Alicia Álvaro, Santiago Segura, El Gran Wyoming, Athenea Mata, Alfonso del Real, Antonio de la Torre, Álex Angulo, Carla Hidalgo, Eduardo Gómez, Jesús Bonilla",Spain,Álex de la Iglesia,Andrés Vicente Gómez,Netflix,Teresa Font,"Álex de la Iglesia, Jorge Guerricaechevarría",Roque Baños
8422,Kings Row,1942.0,"Ilka Grüning, Ronald Reagan, Ludwig Stössel, Kaaren Verne, Ann Sheridan, Judith Anderson, Robert Cummings, Scotty Beckett, Charles Coburn, Claude Rains, Nancy Coleman, Maria Ouspenskaya, Betty Field, Harry Davenport, Minor Watson, Walter Baldwin, Hank Mann, Jack Mower, Ann E. Todd, Emory Parnell, Ernest Cossart, Frank Mayo, Fred Kelsey",United States of America,Sam Wood,Hal B. Wallis,"Warner Bros., Netflix",Ralph Dawson,Casey Robinson,Erich Wolfgang Korngold
84228,The Girl by the Lake,2007.0,"Valeria Golino, Giulia Michelini, Anna Bonaiuto, Toni Servillo, Marco Baliani, Omero Antonutti, Denis Fasolo, Nicola Giuliano, Alessia Piovan, Fabrizio Gifuni, Fausto Maria Sciarappa, Nello Mascia, Sara D'Amario","Norway, Italy",Andrea Molaioli,Nicola Giuliano,Medusa Film,Giogiò Franchini,Sandro Petraglia,Teho Teardo
8424,The Divorcee,1930.0,"Norma Shearer, George Irving, Robert Montgomery, Florence Eldridge, Conrad Nagel, Chester Morris, Tyler Brooke, Mary Doran, Robert Elliott, Carl Stockdale",United States of America,Robert Z. Leonard,"Robert Z. Leonard, Irving Thalberg","Metro-Goldwyn-Mayer, Netflix",Hugh Wynn,"John Meehan, Nick Grinde, Zelda Sears",Jack Yellen
84242,Welcome to the Rileys,2010.0,"Kristen Stewart, Melissa Leo, Ally Sheedy, James Gandolfini, Joe Chrest, Kathy Lamkin, Lance E. Nichols","United Kingdom, United States of America",Jake Scott,"Ridley Scott, Tony Scott, Scott Bloom","Samuel Goldwyn Films, Netflix",Nicolas Gaster,Ken Hixon,Marc Streitenfeld
84248,The Organizer,1963.0,"Marcello Mastroianni, Annie Girardot, Raffaella Carrà, Giulio Bosetti, Folco Lulli, Bernard Blier, Renato Salvatori, Giampiero Albertini, Mario Pisu, Piero Lulli, François Périer, Gabriella Giorgelli, Vittorio Sanipoli, Bruno Scipioni, Edda Ferronao, Kenneth Kove","Italy, France",Mario Monicelli,Franco Cristaldi,Netflix,Ruggero Mastroianni,"Furio Scarpelli, Mario Monicelli, Agenore Incrocci",Carlo Rustichelli
84250,Christmas Holiday,1944.0,"Gladys George, David Bruce, Gene Kelly, Richard Whorf, Joseph Crehan, Gale Sondergaard, Deanna Durbin, Oliver Blake",United States of America,"Felix Jackson, Robert Siodmak",Felix Jackson,Universal Pictures,Ted J. Kent,"Herman J. Mankiewicz, William Somerset Maugham",Hans J. Salter
84252,Back Street,1961.0,"John Gavin, Vera Miles, Susan Hayward, Virginia Grey, Natalie Schafer, Charles Drake, Hayden Rorke, Reginald Gardiner, Alex Gerry, Eugene Borden",United States of America,David Miller,Ross Hunter,Universal Pictures,Milton Carruth,"Eleanore Griffin, William Ludwig",Frank Skinner
84258,Up in Arms,1944.0,"Danny Kaye, Constance Dowling, Dinah Shore, Dana Andrews, Louis Calhern, Elisha Cook Jr., Dorothy Patrick, Lyle Talbot",United States of America,Elliott Nugent,Samuel Goldwyn,RKO Pictures,Daniel Mandell,"Don Hartman, Allen Boretz",Louis Forbes
84291,Torch Song,1953.0,"Joan Crawford, Marjorie Rambeau, Michael Wilding, Gig Young, Maidie Norman, Nancy Gates, Dorothy Patrick, Harry Morgan, Paul Guilfoyle, Eugene Loring",United States of America,Charles Walters,"Sidney Franklin, Charles Schnee","Metro-Goldwyn-Mayer, Netflix",Albert Akst,"Jan Lustig, John Michael Hayes",Adolph Deutsch
